"","V1","V2","V3","V4","linenumber"
"579","Prompting action: Statute","","","",15
"580","Legal Deadline: Final Rule : 07/30/2012 NPRM : 10/29/2010","","","",16
"582","Rulemaking Project Initiated: 08/01/2010","","","",17
"583","Docket Number: FAA-2009-0671","","","",18
"584","Dates for NPRM:","","","",19
"591","Explanation for any delay: N/A Federal Register Citation for NPRM: 75 FR 68224  ","","","",20
"613","","","","",21
"635","","","","",22
"657","","","","",23
"592","Federal Register Citation for NPRM: 75 FR 68224","","","",24
"593","Federal Aviation Administration","","","",1
"596","Popular Title: Flight Crewmember Mentoring","","Flight Crewmember Mentoring, Leadership and Professional Development (HR 5900)","Green",2
"5971","RIN 2120-AJ87","","","",3
"598","Stage: NPRM","","","",4
"599","Previous Stage:None","","","",5
"600","Abstract: This rulemaking would amend the regulations for air carrier training programs under part 121. The action is necessary to ensure that air carriers establish or modify training programs that address mentoring, leadership, and professional development of flight crewmembers in part 121 operations. The amendments are intended to contribute significantly to airline safety by reducing aviation accidents.","","","",6
"601","Effects:","","","",7
"602","Regulatory Flexibility Act","Regulatory Flexibility Act","","",8
"4641","","","","",9
"4871","","","","",10
"5101","","","","",11
"5331","","","","",12
"5562","","","","",13
"5791","","","","",14
"603","Prompting action: Statute","","","",15
"604","Legal Deadline: NPRM : 07/29/2011 Rulemaking Project Initiated: 08/01/2010 Docket Number:","","","",16
"5911","Rulemaking Project Initiated: Unknown","","","",17
"6002","Docket Number: Unknown","","","",18
"605","Dates for NPRM:","","","",19
"612","Explanation for any delay: N/A Federal Register Citation for NPRM: None  ","","","",20
"641","","","","",21
"664","","","","",22
"687","","","","",23
"6131","Federal Register Citation for NPRM: None","","","",24
"614","Federal Highway Administration","","","",1
"618","Popular Title: Real-Time Management","","Real-Time System Management Information Program","Red",2
"619","RIN 2125-AF19","","","",3
"620","Stage: Final Rule","","","",4
"621","Previous Stage: NPRM: Publication Date 1/14/2009; End of Comment Period 4/14/2009.","","","",5
"622","Abstract: This action would establish a real-time system management information program to provide, in all States, the capability to monitor, in real-time, the traffic and travel conditions of the major highways of the United States. Section 1201 of the Safe, Accountable, Flexible, Efficient Transportation Equity Act: A Legacy for Users (SAFETEA- LU) provides that the purpose of this program would be to improve the security of the surface transportation system, to address the congestion problems facing motorists, to  support improved response to weather events and surface transportation incidents and to facilitate national and regional highway traveler information.","","","",6
"623","Effects:","","","",7
"624","Economically Significant Major","Economically Significant Major","","",8
"4841","","","","",9
"5081","","","","",10
"5321","","","","",11
"5561","","","","",12
"5801","","","","",13
"6041","","","","",14
"625","Prompting action: Statute","","","",15
"626","Legal Deadline: None","","","",16
"6272","Rulemaking Project Initiated: 10/31/2006 Docket Number: FHWA-2006-24219 Dates for Final Rule:","","","",17
"5701","Docket Number: Unknown","","","",18
"638","Dates for Unknown","","","",19
"633","Explanation for any delay: Additional coordination necessary Federal Register Citation for Final Rule: 75 FR 68418  ","","","",20
"668","","","","",21
"692","","","","",22
"716","","","","",23
"634","Federal Register Citation for Final Rule: 75 FR 68418","","","",24
"6351","Federal Highway Administration","","","",1
"6381","Popular Title: Tunnel Inspection","","National Tunnel Inspection Standards","Green",2
"639","RIN 2125-AF24","","","",3
"640","Stage: Final Rule","","","",4
"6411","Previous Stage: ANPRM: Publication Date 11/18/08; End of Comment Period 2/17/09.; NPRM: Publication Date 7/22/2010; End of Comment Period 09/20/2010.","","","",5
"642","Abstract: This rulemaking would revise 23 CFR Part 650 -- Bridges, Structures, and Hydraulics, by adding the National Tunnel Inspection Standards (NTIS) under Subpart E. We anticipate that the NTIS may be modeled after the existing National Bridge Inspection Standards and may include requirements for, among other things, inspection procedures, the qualifications and training of inspectors, and a National Tunnel Inventory.","","","",6
"645","Effects:","","","",7
"646","None","None","","",8
"5031","","","","",9
"5281","","","","",10
"5531","","","","",11
"5781","","","","",12
"6031","","","","",13
"6281","","","","",14
"647","Prompting action: None","","","",15
"648","Legal Deadline: None","","","",16
"649","Rulemaking Project Initiated: 01/30/2008 Docket Number: FHWA-2008-0038 Dates for Final Rule:","","","",17
"594","Docket Number: Unknown","","","",18
"6642","Dates for Unknown","","","",19
"655","Explanation for any delay: N/A Federal Register Citation for Final Rule: None  ","","","",20
"695","","","","",21
"720","","","","",22
"745","","","","",23
"656","Federal Register Citation for Final Rule: None","","","",24
"6572","Federal Motor Carrier Safety Administration","","","",1
"661","Popular Title: URS","","Unified Registration System","",2
"662","RIN 2126-AA22","","","",3
"663","Stage: SNPRM","","","Red",4
"6641","Previous Stage: ANPRM: Publication Date 8/26/96; End of Comment Period 10/25/96. NPRM: Publication Date 05/19/2005;End of Comment Period 08/17/2005.","","","",5
"666","Abstract: This rulemaking would replace three current identification and registration systems: the US DOT number identification system, the commercial registration system, and the financial responsibility system, with an online Federal unified registration system (URS). This program would serve as a clearinghouse and depository of information on, and identification of, brokers, freight forwarders, and others required to register with the Department of Transportation. The Agency is revising this rulemaking to address amendments directed by Safe, Accountable, Flexible, Efficient, Transportation Equity Act: A Legacy for Users (SAFETEA-LU). The replacement system for the Single State Registration System, which the ICC Termination Act originally directed be merged under URS, was addressed separately in RIN 2126-AB09. The cargo insurance portion of this rulemaking has been split off into RIN 2126-AB21.","","","",6
"667","Effects:","","","",7
"6681","Regulatory Flexibility Act Information Collection","Regulatory Flexibility Act Information Collection","","",8
"5221","","","","",9
"5481","","","","",10
"5741","","","","",11
"6001","","","","",12
"6262","","","","",13
"6522","","","","",14
"669","Prompting action: Statute","","","",15
"670","Legal Deadline: Final Rule (SAFETEA-LU) : 08/10/2006 Final Rule (ICC Act) : 01/01/1998","","","",16
"671","Rulemaking Project Initiated: 01/01/1996","","","",17
"672","Docket Number: FMCSA-97-2349","","","",18
"673","Dates for SNPRM:","","","",19
"680","Explanation for any delay: Unanticipated issues requiring further analysis Federal Register Citation for SNPRM: None  ","","","",20
"723","","","","",21
"749","","","","",22
"775","","","","",23
"681","Federal Register Citation for SNPRM: None","","","",24
"682","Federal Motor Carrier Safety Administration","","","",1
"684","Popular Title: Mexico-Domiciled Motor Carriers","","Federal Motor Carrier Safety Administration","",2
"685","RIN 2126-AA34","","","",3
"686","Stage: Undetermined","","","",4
"6871","Previous Stage: NPRM: Publication Date 05/03/2001; End of Comment Period 07/02/2001. Interim Final Rule: Publication Date 03/19/2002; End of Comment Period 04/18/2002.","","","",5
"688","Abstract: This rulemaking would change FMCSA regulations to govern applications by Mexican carriers to operate beyond municipalities and commercial zones at the United State- Mexico border. It would also revise the application form, OP-1MX, to be filed by these Mexican motor carriers. The revised form would require additional information about the applicantå«s business and operating practices to allow the FMCSA to determine if the applicant can meet the safety standards established for operating in interstate commerce in the United States. Carriers that had previously submitted an application would have to  submit the updated form. These changes are needed to implement part of the North  American Free Trade Agreement (NAFTA). On January 16, 2003, the Ninth Circuit Court remanded this rule, along with two other NAFTA-related rules, to the agency, requiring a  full environmental impact statement and an analysis required by the Clean Air Act. On June 7, 2004, the Supreme Court reversed the Ninth Circuit and remanded the case, holding that FMCSA is not required to prepare the environmental documents as ruled by the Ninth Circuit. FMCSA originally planned to publish a final rule by November 20, 2003. FMCSA will determine the next steps to be taken after enactment of any pending legislation authorizing cross border trucking.","","","",6
"689","Effects:","","","",7
"690","Information Collection NAFTA","Information Collection NAFTA","","",8
"5441","","","","",9
"5711","","","","",10
"5981","","","","",11
"6251","","","","",12
"6521","","","","",13
"6792","","","","",14
"691","Prompting action: International Agreement","","","",15
"6921","Legal Deadline: None","","","",16
"693","Rulemaking Project Initiated: 02/07/2001","","","",17
"694","Docket Number: FMCSA-98-3298","","","",18
"6951","Dates for Undetermined:","","","",19
"704","Explanation for any delay: Unanticipated issues requiring further analysis Federal Register Citation for Undetermined: None  ","","","",20
"752","","","","",21
"779","","","","",22
"806","","","","",23
"705","Federal Register Citation for Undetermined: None","","","",24
"706","Federal Motor Carrier Safety Administration","","","",1
"709","Popular Title: Safety Monitoring","","Safety Monitoring System and Compliance Initiative for Mexico-Domiciled Motor Carriers Operating in the United States","Red",2
"710","RIN 2126-AA35","","","",3
"711","Stage: Undetermined","","","",4
"712","Previous Stage: NPRM: Publication Date 05/03/2001; End of Comment Period 07/02/2001. Interim Final Rule: Publication Date 03/19/2002; End of Comment Period 04/18/2002.","","","",5
"713","Abstract: This rule would implement a safety monitoring system and compliance initiative designed to evaluate the continuing safety fitness of all Mexico-domiciled carriers within 18 months after receiving a provisional Certificate of Registration or provisional authority to operate in the United States. It also would establish suspension and revocation procedures  for provisional Certificates of Registration and operating authority, and incorporate criteria  to be used by FMCSA in evaluating whether Mexico-domiciled carriers exercise basic safety management controls. The interim rule included requirements that were not proposed in the NPRM but which are necessary to comply with the FY-2002 DOT Appropriations Act. On January 16, 2003, the Ninth Circuit Court of Appeals remanded this rule, along with two other NAFTA-related rules, to the agency, requiring a full environmental impact statement and an analysis required by the Clean Air Act. On June 7, 2004, the Supreme Court reversed the Ninth Circuit and remanded the case, holding that FMCSA is not required to prepare the environmental documents. FMCSA originally planned to publish a final rule by November 28, 2003. FMCSA will determine the next steps to be taken after enactment of any pending legislation authorizing cross border trucking.","","","",6
"714","Effects:","","","",7
"715","Regulatory Flexibility Act Federalism","Regulatory Flexibility Act Federalism","","",8
"7161","Information Collection NAFTA","Information Collection NAFTA","","",9
"595","","","","",10
"6231","","","","",11
"6511","","","","",12
"6791","","","","",13
"707","","","","",14
"717","Prompting action: International Agreement","","","",15
"718","Legal Deadline: None","","","",16
"719","Rulemaking Project Initiated: 02/07/2001 Docket Number: FMCSA-1998-3299 Dates for Undetermined:","","","",17
"6662","Docket Number: Unknown","","","",18
"7454","Dates for Unknown","","","",19
"726","Explanation for any delay: Unanticipated issues requiring further analysis Federal Register Citation for Undetermined: None  ","","","",20
"780","","","","",21
"808","","","","",22
"836","","","","",23
"727","Federal Register Citation for Undetermined: None","","","",24
"728","Federal Motor Carrier Safety Administration","","","",1
"731","Popular Title: Safety Auditors Certification","","Certification of Safety Auditors, Safety Investigators, and Safety Inspectors","Red",2
"7322","RIN 2126-AA64","","","",3
"733","Stage: NPRM","","","",4
"734","Previous Stage: Interim Final Rule: Publication Date 03/19/2002; End of Comment Period 05/20/2002; Extension of Compliance 06/17/02; End of Extended Compliance 07/17/02. IFR Extension of Statutory Compliance Date: Publication Date 7/28/2003. Notice of Environmental Assessment: Publication Date 10/02/2003; End of Comment Period 11/03/2003. Notice of Statutory Compliance Date: Publication Date 12/23/2003; Compliance Date 1/01/2004.","","","",5
"735","Abstract: This rulemaking would require that any safety inspection, safety audit, or compliance review be conducted by a certified inspector, auditor, or investigator. It is required by section 211 of the Motor Carrier Safety Improvement Act. Based on comments to the Interim Final Rule (IFR), the agency will issue a NPRM that addresses issues not clarified in the IFR.","","","",6
"736","Effects:","","","",7
"737","None","None","","",8
"5871","","","","",9
"616","","","","",10
"6451","","","","",11
"6741","","","","",12
"7031","","","","",13
"7321","","","","",14
"738","Prompting action: Statute","","","",15
"739","Legal Deadline: NPRM : 12/09/2000 Rulemaking Project Initiated: 12/09/1999 Docket Number: FMCSA-2001-11060 Dates for NPRM:","","","",16
"6851","Rulemaking Project Initiated: Unknown","","","",17
"6901","Docket Number: Unknown","","","",18
"772","Dates for Unknown","","","",19
"746","Explanation for any delay: Other, higher priorities Federal Register Citation for NPRM: None  ","","","",20
"8082","","","","",21
"837","","","","",22
"866","","","","",23
"747","Federal Register Citation for NPRM: None","","","",24
"748","Federal Motor Carrier Safety Administration","","","",1
"751","Popular Title: USA PATRIOT Act Rule","","Limitations on the Issuance of Commercial Driver Licenses with a Hazardous Materials Endorsement","Green",2
"7521","RIN 2126-AA70","","","",3
"753","Stage: Interim Final Rule/4","","","",4
"754","Previous Stage: Interim Final Rule: Publication Date 05/05/2003; End of Comment Period 07/07/2003. IFR Delay of Compliance Date: Publication Date 11/07/2003; End of Comment Period 01/06/2004. IFR Delay of Compliance Date: Publication Date 08/19/2004; Interim Final Rule/3: Publication Date 08/19/2004.","","","",5
"756","Abstract: This rulemaking would prohibit States from issuing, renewing, transferring or upgrading a commercial driverå«s license (CDL) with a hazardous materials endorsement, unless the Transportation Security Administration (TSA) has first conducted a background check on the applicant and determined the applicant does not pose a security risk warranting denial of the hazardous materials endorsement. FMCSA and TSA simultaneously published interim final rules. FMCSA has published another IFR corresponding to TSAå«s extension of compliance date. Since this rulemaking conforms to TSAå«s rulemaking, the rulemaking is dependent upon TSA action. This action is considered significant because of substantial public and congressional interest, and national security.","","","",6
"757","Effects:","","","",7
"7581","NAFTA","NAFTA","","",8
"6061","","","","",9
"636","","","","",10
"6661","","","","",11
"6961","","","","",12
"7261","","","","",13
"7562","","","","",14
"759","Prompting action: Statute","","","",15
"760","Legal Deadline: None","","","",16
"761","Rulemaking Project Initiated: 10/26/2001 Docket Number: FMCSA-2001-11117 Dates for Interim Final Rule/4:","","","",17
"7141","Docket Number: Unknown","","","",18
"799","Dates for Unknown","","","",19
"768","Explanation for any delay: N/A Federal Register Citation for Interim Final Rule/4: 70 FR 22268  ","","","",20
"8363","","","","",21
"8662","","","","",22
"896","","","","",23
"769","Federal Register Citation for Interim Final Rule/4: 70 FR 22268","","","",24
"770","Federal Motor Carrier Safety Administration","","","",1
"773","Popular Title: Diabetes Standard","","Qualifications of Drivers; Diabetes Standard","Red",2
"774","RIN 2126-AA95","","","",3
"7751","Stage: NPRM","","","",4
"776","Previous Stage: ANPRM: Publication Date 03/17/2006;End of Comment Period 06/15/2006.","","","",5
"777","Abstract: This rulemaking action would amend FMCSAå«s medical qualification standards to allow drivers with insulin-treated diabetes mellitus to operate commercial motor vehicles in interstate commerce, without seeking an exemption from the FMCSRs. This action is required by Safe, Accountable, Flexible, Efficient, Transportation Equity Act: A Legacy for Users (SAFETEA-LU).","","","",6
"778","Effects:","","","",7
"7791","None","None","","",8
"6261","","","","",9
"6571","","","","",10
"6881","","","","",11
"7191","","","","",12
"750","","","","",13
"781","","","","",14
"7801","Prompting action: Statute","","","",15
"7811","Legal Deadline: Initiate change : 11/10/2005","","","",16
"782","Rulemaking Project Initiated: 08/10/2005","","","",17
"783","Docket Number: FMCSA-2005-23151","","","",18
"7841","Dates for NPRM:","","","",19
"791","Explanation for any delay: Lack of staffing Unanticipated issues requiring further analysis Unanticipated issues requiring further analysis","","","",20
"792","Unanticipated issues requiring further analysis","","","",21
"895","","","","",22
"926","","","","",23
"793","Federal Register Citation for NPRM: None","","","",24
"794","Federal Motor Carrier Safety Administration","","","",1
"797","Popular Title: National Registry","","National Registry of Certified Medical Examiners","Red",2
"798","RIN 2126-AA97","","","",3
"7991","Stage: Final Rule","","","",4
"800","Previous Stage: NPRM: Publication Date 12/01/08; End of Comment Period 01/30/09","","","",5
"801","Abstract: This rulemaking would establish training, testing and certification standards for medical examiners responsible for certifying that interstate commercial motor vehicle drivers meet established physical qualifications standards; provide a database (or National Registry) of medical examiners that meet the prescribed standards for use by motor carriers, drivers, and Federal and State enforcement personnel in determining whether a medical examiner is qualified to conduct examinations of interstate truck and bus drivers; and require medical examiners to transmit electronically to FMCSA the name of the driver and a numerical identifier for each driver that is examined. The rulemaking would also establish the process by which medical examiners that fail to meet or maintain the minimum standards would be removed from the National Registry. This action is in response to section 4116 of Safe, Accountable, Flexible, Efficient, Transportation Equity Act: A Legacy for Users (SAFETEA-LU).","","","",6
"803","Effects:","","","",7
"804","Major","Major","","",8
"805","Unfunded Mandate Regulatory Flexibility Act Information Collection Privacy","Unfunded Mandate Regulatory Flexibility Act Information Collection Privacy","","",9
"6811","","","","",10
"7131","","","","",11
"7451","","","","",12
"7771","","","","",13
"809","","","","",14
"8061","Prompting action: Statute","","","",15
"807","Legal Deadline: Final Rule : 08/10/2006 Rulemaking Project Initiated: 08/10/2005 Docket Number: FMCSA-2008-0363 Dates for Final Rule:","","","",16
"755","Rulemaking Project Initiated: Unknown","","","",17
"762","Docket Number: Unknown","","","",18
"854","Dates for Unknown","","","",19
"813","Explanation for any delay: Additional coordination necessary Lack of resources","","","",20
"814","Lack of resources","","","",21
"815","Unanticipated issues requiring further analysis","","","",22
"955","","","","",23
"816","Federal Register Citation for Final Rule: None","","","",24
"817","Federal Motor Carrier Safety Administration","","","",1
"820","Popular Title: Consumer Complaint Information","","Consumer Complaint Information","Red",2
"821","RIN 2126-AB01","","","",3
"822","Stage: Final Rule","","","",4
"8232","Previous Stage: NPRM: Publication Date 02/20/2008; End of Comment Period 4/21/2008.","","","",5
"824","Abstract: The rulemaking would require each motor carrier of household goods to submit a quarterly report of specific identified information regarding complaints that each receives from shippers and consumers to the Agency. This rule responds to Safe, Accountable, Flexible, Efficient, Transportation Equity Act: A Legacy for Users (SAFETEA-LU).","","","",6
"825","Effects:","","","",7
"826","Information Collection Privacy","Information Collection Privacy","","",8
"6691","","","","",9
"7021","","","","",10
"7351","","","","",11
"7681","","","","",12
"8011","","","","",13
"834","","","","",14
"827","Prompting action: Statute","","","",15
"828","Legal Deadline: Report in place : 08/10/2006 Rulemaking Project Initiated: 08/10/2005 Docket Number: FMCSA-2008-0029","","","",16
"849","Rulemaking Project Initiated: Unknown","","","",17
"865","Docket Number: Unknown","","","",18
"829","Dates for Final Rule:","","","",19
"835","Explanation for any delay: Additional coordination necessary Federal Register Citation for Final Rule: None  ","","","",20
"919","","","","",21
"951","","","","",22
"984","","","","",23
"8362","Federal Register Citation for Final Rule: None","","","",24
"8371","Federal Motor Carrier Safety Administration","","","",1
"840","Popular Title: Commercial Learner's Permit","","Commercial Driver's License Testing and Commercial Learner's Permit Standards","Red",2
"841","RIN 2126-AB02","","","",3
"842","Stage: Final Rule","","","",4
"843","Previous Stage: NPRM: Publication Date 4/9/2008 ;End of Comment Period 6/9/2008; End of Extended Comment Period 7/9/2008.","","","",5
"844","Abstract: This rulemaking would establish revisions to the commercial driver‰Ûªs license knowledge and skills testing standards as required by section 4019 of TEA-21, implement fraud detection and prevention initiatives at the State driver licensing agencies as required by the SAFE Port Act of 2006, and establish new minimum Federal standards for States to issue commercial learner‰Ûªs permits (CLPs), based in part on the requirements of section 4122 of Safe, Accountable, Flexible, Efficient, Transportation Equity Act: A Legacy for Users (SAFETEA-LU). In addition to ensuring the applicant has the appropriate knowledge and skills to operate a commercial motor vehicle, this rule would establish the minimum information that must be on the CLP document and the electronic driverå«s record. The rule would also establish maximum issuance and renewal periods, establish a minimum age limit, address issues related to a driverå«s State of Domicile, and incorporate previous regulatory guidance into the Federal regulations. This rulemaking would also address issues raised in  the SAFE Port Act.","","","",6
"847","Effects:","","","",7
"848","Regulatory Flexibility Act Federalism","Regulatory Flexibility Act Federalism","","",8
"8491","Information Collection","Information Collection","","",9
"7221","","","","",10
"7561","","","","",11
"7901","","","","",12
"8241","","","","",13
"858","","","","",14
"850","Prompting action: Statute","","","",15
"851","Legal Deadline: Final Rule : 04/13/2008 Rulemaking Project Initiated: 08/10/2005 Docket Number: FMCSA-2007-27659 Dates for Final Rule:","","","",16
"802","Rulemaking Project Initiated: Unknown","","","",17
"810","Docket Number: Unknown","","","",18
"908","Dates for Unknown","","","",19
"857","Explanation for any delay: Unanticipated issues requiring further analysis Federal Register Citation for Final Rule: None  ","","","",20
"946","","","","",21
"979","","","","",22
"1013","","","","",23
"8582","Federal Register Citation for Final Rule: None","","","",24
"859","Federal Motor Carrier Safety Administration","","","",1
"862","Popular Title: Entry Level Driver Training","","Minimum Training Requirements for Entry Level Commercial Motor Vehicle Operations","Red",2
"863","RIN 2126-AB06","","","",3
"864","Stage: Final Rule","","","",4
"8651","Previous Stage: NPRM: Publication Date 12/26/2007; End of Comment Period 3/28/2008; Publication Date for Extension of Comment Period 3/21/2008; End of Extended Comment Period 5/23/2008.","","","",5
"8661","Abstract: This rulemaking would require behind-the-wheel and classroom training for persons who must hold a commercial driverå«s license to operate commercial motor vehicles. This action is in response to the U.S. Court of Appeals for the District of Columbia Circuitå«s December 2005 decision remanding the May 21, 2004, Final Rule, ""Minimum Training Requirements for Entry-Level Commercial Motor Vehicle Operators"" to the  Agency for further consideration. The rulemaking will consider the effectiveness of CMV driver training in reducing crashes, the appropriate types and levels of training that should be mandated, and related costs.","","","",6
"867","Effects:","","","",7
"868","Economically Significant","Economically Significant","","",8
"869","Major","Major","","",9
"870","Federalism","Federalism","","",10
"7761","","","","",11
"8111","","","","",12
"846","","","","",13
"881","","","","",14
"871","Prompting action: Court Action","","","",15
"872","Legal Deadline: None","","","",16
"873","Rulemaking Project Initiated: 04/19/2006 Docket Number: FMCSA-2007-27748 Dates for Final Rule:","","","",17
"8342","Docket Number: Unknown","","","",18
"934","Dates for Unknown","","","",19
"879","Explanation for any delay: Additional coordination necessary Unanticipated impacts requiring further analysis Unanticipated impacts requiring further analysis","","","",20
"880","Unanticipated impacts requiring further analysis","","","",21
"1007","","","","",22
"1042","","","","",23
"8811","Federal Register Citation for Final Rule: None","","","",24
"882","Federal Motor Carrier Safety Administration","","","",1
"885","Popular Title: Carrier Safety Fitness Determination","","Carrier Safety Fitness Determination","Red",2
"886","RIN 2126-AB11","","","",3
"887","Stage: NPRM","","","",4
"888","Previous Stage:None","","","",5
"889","Abstract: This rulemaking would revise 49 CFR Part 385, Safety Fitness Procedures, in accordance with the Agencyå«s major new initiative, Comprehensive Safety Analysis (CSA) 2010. CSA 2010 is a new operational model FMCSA plans to implement that is designed to help the Agency carry out its compliance and enforcement programs more efficiently and effectively. Currently, the safety fitness rating of a motor carrier is determined based on the results of a very labor intensive compliance review conducted at the carrierå«s place of business. Aside from roadside inspections and new audits, the compliance review is the Agencyå«s primary intervention. Under CSA 2010, FMCSA would propose to implement a broader array of progressive interventions, some of which allow FMCSA to make contact with more carriers. Through this rulemaking FMCSA would establish safety fitness determinations based on safety data consisting of crashes, inspections, and violation history rather than the standard compliance review. This will enable the Agency to assess the safety performance of a greater segment of the motor carrier industry with the goal of further reducing large truck and bus crashes and fatalities.","","","",6
"890","Effects:","","","",7
"8911","Economically Significant Major","Economically Significant Major","","",8
"7271","","","","",9
"7621","","","","",10
"7981","","","","",11
"8341","","","","",12
"8701","","","","",13
"906","","","","",14
"892","Prompting action: Secretarial/Head of Operating Administration Decision","","","",15
"893","Legal Deadline: None","","","",16
"894","Rulemaking Project Initiated: 06/21/2007 Docket Number: FMCSA-2004-18898 Dates for NPRM:","","","",17
"8583","Docket Number: Unknown","","","",18
"961","Dates for Unknown","","","",19
"904","Explanation for any delay: Additional coordination necessary Awaiting development of additional data Unanticipated issues requiring further analysis Awaiting development of additional data Unanticipated issues requiring further analysis","","","",20
"905","Awaiting development of additional data Unanticipated issues requiring further analysis","","","",21
"1038","","","","",22
"1074","","","","",23
"9061","Federal Register Citation for NPRM: None","","","",24
"907","Federal Motor Carrier Safety Administration","","","",1
"910","Popular Title: MCSIA 210(b)","","New Entrant Safety Assurance Process: Implementation of Section 210(b) of the Motor Carrier Safety Improvement Act of 1999","Black",2
"911","RIN 2126-AB17","","","",3
"912","Stage: Undetermined","","","",4
"913","Previous Stage: ANPRM: Publication Date 08/25/2009;End of Comment Period 10/26/2009.","","","",5
"914","Abstract: This rulemaking would consider methods for ensuring a new applicant carrier is knowledgeable about the applicable safety requirements before being granted New Entrant authority. The agency is considering whether to implement a proficiency examination as part of its revised New Entrant Safety Assurance Process as well as other alternatives. This rulemaking responds to issues raised in a petition from Advocates for Highway and Auto Safety regarding new entrant applicant knowledge.","","","",6
"915","Effects:","","","",7
"9161","None","None","","",8
"7501","","","","",9
"7861","","","","",10
"8231","","","","",11
"860","","","","",12
"8971","","","","",13
"9342","","","","",14
"917","Prompting action: Court Action","","","",15
"918","Legal Deadline: None","","","",16
"9191","Rulemaking Project Initiated: 02/26/2009 Docket Number: FMCSA-2001-11061 Dates for Undetermined:","","","",17
"8821","Docket Number: Unknown","","","",18
"991","Dates for Unknown","","","",19
"9261","Explanation for any delay: N/A Federal Register Citation for Undetermined: None  ","","","",20
"1031","","","","",21
"1067","","","","",22
"1104","","","","",23
"927","Federal Register Citation for Undetermined: None","","","",24
"928","Federal Motor Carrier Safety Administration","","","",1
"931","Popular Title: CDL Drug and Alcohol Database","","Commercial Driver's License Drug and Alcohol Clearinghouse","Red",2
"932","RIN 2126-AB18","","","",3
"933","Stage: NPRM","","","",4
"9341","Previous Stage: None","","","",5
"935","Abstract: This rulemaking would create a central database for verified positive controlled substances and alcohol test results for commercial driverå«s license (CDL) holders and refusals by such drivers to submit to testing. This rulemaking would require employers of CDL holders and service agents to report positive test results and refusals to test into the database. Prospective employers, acting on an application for a CDL driver position with the applicant‰Ûªs written consent to access the database, would query the database to determine if any specific information about the driver applicant is in the database before allowing the applicant to be hired and to drive CMVs. This rulemaking is intended to increase highway safety by ensuring CDL holders, who have tested positive or have refused to submit to testing, have completed the U.S. DOTå«s return-to-duty process before driving CMVs in interstate or intrastate commerce. It is also intended to ensure that employers are meeting  their drug and alcohol testing responsibilities.","","","",6
"936","Effects:","","","",7
"937","Information Collection Privacy","Information Collection Privacy","","",8
"7701","","","","",9
"8071","","","","",10
"845","","","","",11
"883","","","","",12
"9212","","","","",13
"959","","","","",14
"938","Prompting action: Secretarial/Head of Operating Administration Decision","","","",15
"939","Legal Deadline: None","","","",16
"940","Rulemaking Project Initiated: 03/01/2009","","","",17
"941","Docket Number: Dates for NPRM:","","","",18
"1018","Dates for Unknown","","","",19
"948","Explanation for any delay: Additional coordination necessary Other, higher priorities Other, higher priorities","","","",20
"949","Other, higher priorities","","","",21
"1096","","","","",22
"1134","","","","",23
"950","Federal Register Citation for NPRM: None","","","",24
"9511","Federal Motor Carrier Safety Administration","","","",1
"954","Popular Title: EOBR and HOS supporting documents","","Electronic On-Board Recorders and Hours of Service Supporting Documents","Red",2
"9551","RIN 2126-AB20","","","",3
"956","Stage: NPRM","","","",4
"957","Previous Stage:None","","","",5
"958","Abstract: This rulemaking will consider revisions to RIN 2126-AA89 (Electronic On-Board Recorders for Hours of Service Drivers) to expand the number of motor carriers required to install and operate Electronic On-Board Recorders (EOBRs). FMCSA is consolidating this follow-up to the EOBR rule with the Hours Of Service Of Drivers: Supporting Documents rulemaking for development of a single NPRM in RIN 2126-AB20. In addressing Hours of Service Supporting Documents requirements in this new rulemaking, FMCSA will consider reducing or eliminating current paperwork burdens associated with supporting documents in favor of expanded EOBR use. On January 15, 2010, the American Trucking Associations (ATA) filed a Petition for a Writ of Mandamus in the United States Court of Appeals for the District of Columbia Circuit (D.C. Cir. No. 10-1009). ATA petitioned the court to direct FMCSA to issue an NPRM on supporting documents in conformance with the requirements set forth in section 113 of the HMTAA within 60 days after the issuance of the writ and a final rule no later than 6 months after the issuance of the NPRM. The court granted the petition for writ of mandamus on September 30, 2010, ordering FMCSA to issue an NPRM on the supporting document regulations by December 30, 2010.","","","",6
"9611","Effects:","","","",7
"962","Economically Significant Major","Economically Significant Major","","",8
"963","Unfunded Mandate Regulatory Flexibility Act Information Collection Privacy","Unfunded Mandate Regulatory Flexibility Act Information Collection Privacy","","",9
"8301","","","","",10
"8691","","","","",11
"9081","","","","",12
"9471","","","","",13
"986","","","","",14
"964","Prompting action: None","","","",15
"965","Legal Deadline: NPRM : 12/30/2010 Rulemaking Project Initiated: 08/26/1994 Docket Number:","","","",16
"1003","Rulemaking Project Initiated: Unknown","","","",17
"1024","Docket Number: Unknown","","","",18
"966","Dates for NPRM:","","","",19
"973","Explanation for any delay: Additional coordination necessary Awaiting development of additional data Unanticipated issues requiring further analysis Awaiting development of additional data Unanticipated issues requiring further analysis","","","",20
"974","Awaiting development of additional data Unanticipated issues requiring further analysis","","","",21
"1125","","","","",22
"1164","","","","",23
"975","Federal Register Citation for NPRM: None","","","",24
"976","Federal Motor Carrier Safety Administration","","","",1
"9791","Popular Title: HOS (Settlement Agreement)","","Hours of Service","Green",2
"980","RIN 2126-AB26","","","",3
