Rulemaking Project Initiated: 08/10/2007 Docket Number: PHMSA-2007-27954 Dates for NPRM:,,,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,
To OST,,11/30/07,,,3/3/08,,,4/14/08,,,,,
To OMB,,1/4/07,,,6/27/08,,,6/25/08,,,,,
OMB Clearance,,4/4/07,,,9/26/08,,,8/28/08,,,,,
Publication Date,,4/11/07,,,10/7/08,,,9/12/08,,,,,
End of Comment Period,,6/11/07,,,12/8/08,,,11/12/08,,,,,
Explanation for any delay: Lack of staffing,,,,,,,,,,,,,
Federal Register Citation for NPRM: 73 FR 53076,,,,,,,,,,,,,
Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,,,
Hazardous Materials; Combination Packages Containing Liquids Intended for Transport by Aircraft,,,,,,,,,,Green,,,
68,,,,,,,,,,,,,
Popular Title: Air Packaging,,,,,,,,,,,,,
RIN 2137-AE32,,,,,,,,,,,,,
Stage: ANPRM,,,,,,,,,,,,,
Previous Stage: None,,,,,,,,,,,,,
Abstract: Incident data and testing conducted on behalf of DOT indicate many,,,,,,,,,,,,,
"combination packagings authorized for the transportation of hazardous materials may not withstand conditions normally incident to air transportation. PHMSA is considering measures to reduce the incidence of package failures and to minimize the consequences of failures should they occur. PHMSA is soliciting comments on how to accomplish these goals, including measures to verify packaging integrity, such as performance testing, and revisions to packaging requirements, such as the addition of liners or absorbent material.",,,,,,,,,,,,,
Effects:,,,,,,,,,,,,,
EU NAFTA,,,,,,,,,,,,,
Foreign,,,,,,,,,,,,,
Prompting action: Secretarial/Head of Operating Administration Decision,,,,,,,,,,,,,
Legal Deadline: None,,,,,,,,,,,,,
Rulemaking Project Initiated: 06/04/2007,,,,,,,,,,,,,
Docket Number: PHMSA-07-29364,,,,,,,,,,,,,
Dates for ANPRM:,,,,,,,,,,,,,
Milestone,,Originally Scheduled Date,,,New Projected Date,,,Actual Date,,,,,
To OST,,4/16/08,,,4/28/08,,,4/28/08,,,,,
To OMB,,5/20/08,,,6/2/08,,,6/11/08,,,,,
OMB Clearance,,8/18/08,,,9/2/08,,,6/26/08,,,,,
Publication Date,,8/25/08,,,9/9/08,,,7/7/08,,,,,
End of Comment Period,,10/24/08,,,11/10/08,,,9/5/08,,,,,
Explanation for any delay: N/,,,,,,,,,,,,,
A,,,,,,,,,,,,,
Federal Register Citation for ANPRM: 73 FR 38361,,,,,,,,,,,,,
